k_real,entropy_A
553.9183572446619,0.6327603562043241
554.0934741120002,0.5895053092025663
554.1794264860622,0.6706936337982293
554.2264400309712,0.6046131225416456
554.3031607099535,0.6517848839212327
554.3502689209356,0.6767254974803131
554.4149204144619,0.6185361053674635
554.6538084069582,0.6309484413295903
554.7090193580863,0.6527367352819011
554.7920755899964,0.5716969527635889
554.8162842731452,0.6552369646358743
554.8449008936664,0.6634607736725213
555.0775476737916,0.6316459269510503
555.1145317374574,0.6401169835954253
555.1535775796034,0.6216987175515297
555.2187238108573,0.6684630175444782
555.25395077721,0.6496403272307707
555.4331528944666,0.62605459709394
555.5483216150525,0.6321648107122184
555.76813679789,0.6635275425392162
555.7858874984742,0.663636922104186
555.8545715707615,0.6522463953701676
555.9254056922997,0.6355332564909949
555.934412828561,0.6323873978120222
556.0241913680047,0.6353077047995215
556.1873118429701,0.6130004878109194
556.2442365562096,0.6126347815355275
556.2966129688043,0.6386868555034589
556.4214594090748,0.601267516817433
556.4442013192148,0.6571130813037589
556.4702988399441,0.636559171219877
556.7381854466166,0.7132182907095428
556.7811831317188,0.6592507310793804
556.8601650160474,0.6041125248601592
556.9508204742345,0.6769742217068447
557.0095901992083,0.6324184772220464
557.1570813298861,0.6587764848928964
557.2641076843865,0.6718750888650615
557.3005189496888,0.6512013961675632
557.3196759115317,0.5981052066741918
557.3585629714299,0.6344911848136587
557.6245220759469,0.6184137278651225
557.6847149188245,0.6342388564874905
557.699888954404,0.60120075016726
557.8404274225317,0.6405060567210998
557.949442937293,0.5778427714462107
557.952503149721,0.5885788384884638
558.1781491825851,0.6408998162614105
558.2108644137999,0.6781222220911391
558.2688574304577,0.6168538849000692
558.2866441863827,0.6244688630618432
558.506874757671,0.695238949912235
558.5101563113584,0.6504434755693052
558.6051288688998,0.6405960174961758
558.7149577743892,0.6259397440614564
558.7674900441095,0.6847235573086378
558.783618570129,0.6531801299960521
558.9825985313606,0.585644345488579
559.217275827921,0.6502024823239495
559.2316058844841,0.6128669682954985
559.2534417568222,0.6340672024593854
559.4328461045188,0.6131147133100947
559.4850717210896,0.6500423872760263
559.5085222491642,0.6209948086826714
559.5262755813711,0.6112863538098879
559.5552179182077,0.6857227881652943
559.7886658967562,0.6945668502653314
559.8488471650431,0.7036866825923023
559.9302325895889,0.6429838339933334
559.9647293263929,0.6114758887401962
560.0797441166366,0.6614454083011824
560.0951033893243,0.6441666100319973
560.3571791245092,0.7079524012146453
560.4054825361768,0.6389767797111603
560.469712756551,0.6149611784083785
560.5492026680608,0.6744348562490524
560.5830569987978,0.6233885121144527
560.599118800474,0.59117739394782
560.7917169657115,0.6201756999417268
560.8546885225381,0.6444578531801526
560.9526230596275,0.6655241426744092
560.9709857938276,0.6522593391796915
561.033035700581,0.6989562782665172
561.1144736940083,0.631618280707051
561.3058797968505,0.6436560417518553
561.317893390256,0.6260394861075129
561.5033049592834,0.6349123819705745
561.5037925193134,0.6976267899822294
561.5164848857193,0.6335324292285632
561.7086591294576,0.6114969375821132
561.865328629827,0.6801546257109256
561.8766119520592,0.6381860068194326
561.8784950729287,0.6267572964369564
562.1634211050899,0.6420703525496734
562.1838038485565,0.686072655392185
562.2734300165056,0.633524494504191
562.3105148984504,0.6205977804068735
562.4638133497613,0.5528182544916549
562.4913989111675,0.6602788008306819
562.5454076279508,0.6868273627915054
562.6387220339359,0.6103200536605236
562.7068937374613,0.6483727825483425
562.8037810184886,0.6655874016821486
562.8425593278778,0.5757801872009083
563.1815240241586,0.6453835313605382
563.2003381423777,0.6506711748954539
563.2014649807329,0.6543914848902612
563.2235549499711,0.6334282075202412
563.2630486726097,0.6997388916730259
563.4087044151263,0.6265341787825046
563.5313124155082,0.6262311493451123
563.7066106465211,0.6742975871758015
563.7219136267322,0.6223445327858963
563.74337677915,0.626209795961426
563.9750130940719,0.5894457093196283
564.0715696870404,0.6206106056863727
564.1035705553518,0.6706891809599304
564.1255615527366,0.6197482644300729
564.2047721856767,0.6635245314946547
564.3259215878184,0.6319352558442696
